date,no tickets sol,sell_amt,purchase_amt,Ratio,no tickets sol * Ratio,norm_ratio,norm_ratio_cum_sum,norm_ratio*1000,no tickets sol_cumsum,actual_cumsum_ratio
2022-01-29,652,64.90743865030674,111.54493098312885,0.5818950092866523,379.3955460548973,0.0025846601116611993,0.2121038319507158,2.5846601116611994,28510,0.1938598578859688
2022-01-30,127,60.16,94.79071391338583,0.634661324050905,80.60198815446493,0.0005491069831201695,0.21265293893383597,0.5491069831201695,28637,0.1947234216162921
2022-02-01,191,79.34,105.64156457591622,0.7510301491510439,143.4467584878494,0.000977241611468454,0.21363018054530442,0.977241611468454,28828,0.1960221670689831
2022-02-03,418,59.157846889952154,106.3623464952153,0.5561916302082839,232.48810142706267,0.0015838423208780193,0.21521402286618244,1.5838423208780192,29246,0.1988644476931969
2022-02-04,127,84.82,94.79071391338583,0.8948133893949096,113.64130045315352,0.0007741897325174997,0.21598821259869994,0.7741897325174997,29373,0.1997280114235202
2022-02-05,26,56.45,77.9556923076923,0.7241292884320878,18.827361499234282,0.0001282627874283357,0.21611647538612827,0.1282627874283357,29399,0.19990480399823207
2022-02-06,376,85.10880319148936,111.37331028457447,0.7641759320435425,287.33015044837197,0.0019574578206409915,0.21807393320676927,1.9574578206409914,29775,0.20246149661714208
2022-02-07,438,287.80689497716895,111.80565639497718,2.5741711489124492,1127.4869632236528,0.007681088011087304,0.22575502121785657,7.681088011087303,30213,0.20543977152959575
2022-02-08,378,315.315,117.39345325925926,2.6859674985762454,1015.2957144618208,0.006916776862557881,0.23267179808041444,6.916776862557882,30591,0.20801006357732976
2022-02-09,1462,91.32686730506157,109.82955585841313,0.8315327016599765,1215.7008098268857,0.008282051340737423,0.24095384942115186,8.282051340737423,32053,0.217951246047666
2022-02-10,1396,75.13179799426935,109.5782654047278,0.6856450749313262,957.1605246041314,0.006520726598205863,0.2474745760193577,6.520726598205862,33449,0.22744364736681058
2022-02-11,274,61.169233576642334,101.6634799270073,0.6016834523130709,164.86126593378143,0.001123129521281616,0.24859770554063934,1.123129521281616,33723,0.22930676911569714
2022-02-12,181,70.49049723756906,97.47174402209944,0.7231890425761437,130.897216706282,0.000891746933421418,0.24948945247406076,0.891746933421418,33904,0.23053751742426817
2022-02-13,1407,89.55251599147121,107.68665897014925,0.8316026966376139,1170.0649941691227,0.007971153984086123,0.2574606064581469,7.971153984086123,35311,0.2401047156019447
2022-02-14,868,229.3913479262673,108.41308583064516,2.1159009188669837,1836.6019975765419,0.01251198643076978,0.2699725928889167,12.511986430769781,36179,0.2460068677115561
2022-02-15,289,94.24,100.89085813494809,0.9340786840562686,269.9487396922616,0.0018390456791889755,0.27181163856810564,1.8390456791889755,36468,0.24797198517662258
2022-02-16,484,83.15661157024795,109.3266449752066,0.7606252948593312,368.14264271191627,0.002507998878514373,0.27431963744662,2.507998878514373,36952,0.251263046952028
2022-02-17,746,120.97079088471851,109.0844615764075,1.1089644587005207,827.2874861905884,0.005635956954865991,0.27995559440148604,5.635956954865991,37698,0.25633563390337605
2022-02-18,145,74.65,99.28022988965517,0.7519120381063743,109.02724552542428,0.0007427561433551483,0.2806983505448412,0.7427561433551483,37843,0.2573215924931153
2022-02-20,624,74.18541666666667,104.34698504326923,0.7109493066417246,443.63236734443615,0.0030222781897156947,0.2837206287345569,3.0222781897156947,38467,0.2615646142862
2022-02-22,592,77.34092905405404,110.46589020608108,0.700134031507551,414.4793466524702,0.0028236710882341845,0.28654429982279106,2.8236710882341844,39059,0.26559004521810087
2022-02-23,466,72.84549356223177,108.44075930042919,0.6717538131618694,313.03727693343114,0.002132589513941754,0.2886768893367328,2.132589513941754,39525,0.26875871213409036
2022-02-24,75,56.85,86.13617778666666,0.6600014240334683,49.500106802510125,0.00033722312479889907,0.2890141124615317,0.3372231247988991,39600,0.26926869071499
2022-02-26,118,59.22,101.4636158220339,0.5836574965342379,68.87158459104008,0.0004691927445389777,0.2894833052060707,0.4691927445389777,39718,0.27007105701560535
2022-02-27,250,79.338,106.925144004,0.7419957273757051,185.49893184392627,0.0012637251408939329,0.29074703034696464,1.263725140893933,39968,0.271770985618604
2022-02-28,687,70.47206695778749,106.54404075836973,0.6614360264185066,454.40655014951403,0.00309567810392555,0.29384270845089017,3.0956781039255503,40655,0.2764423894196444
2022-03-01,792,72.10029040404041,107.20698043181818,0.6725335431856041,532.6465662029984,0.003628693978075828,0.29747140242896597,3.628693978075828,41447,0.28182776323394415
2022-03-02,368,81.58184782608696,104.53824230434783,0.7804019469599778,287.1879164812718,0.0019564888412602114,0.2994278912702262,1.9564888412602113,41815,0.28433005813755824
2022-03-03,417,57.23,108.77375020383693,0.5261379688826914,219.3995330240823,0.001494675484256702,0.30092256675448287,1.494675484256702,42232,0.28716553904736003
2022-03-04,1935,135.1641291989664,112.38142945994832,1.2027265523183048,2327.27587873592,0.0158547383994055,0.31677730515388836,15.854738399405498,44167,0.3003229864345697
2022-03-05,628,147.2596815286624,107.28500584235668,1.3726026332612038,861.994453688036,0.0058724007281790135,0.3226497058820674,5.872400728179014,44795,0.3045932070853024
2022-03-06,215,163.0845581395349,114.95239922790698,1.4187138262003571,305.0234726330768,0.0020779948816821866,0.32472770076374957,2.0779948816821867,45010,0.30605514568388126
2022-03-07,40,80.846,96.60198335,0.8368979310402533,33.475917241610134,0.00022805715274037874,0.32495575791648995,0.22805715274037874,45050,0.30632713426036107
2022-03-08,885,120.18866666666666,111.8997621480226,1.074074371200891,950.5558185127886,0.006475731551318651,0.3314314894678086,6.475731551318651,45935,0.31234488151497636
2022-03-09,668,122.36149700598801,105.93416766766468,1.155071113503803,771.5875038205404,0.005256496720951533,0.3366879861887601,5.256496720951533,46603,0.31688709074218885
2022-03-10,545,101.36847706422019,113.44305198899083,0.8935626756062378,486.99165820539963,0.003317666553452659,0.3400056527422128,3.3176665534526593,47148,0.32059293509672593
2022-03-11,451,128.4771618625277,102.33937767849223,1.2554030010437383,566.186753470726,0.0038571889751045974,0.3438628417173174,3.8571889751045974,47599,0.32365960629653556
2022-03-12,1656,124.13053743961352,106.639855477657,1.164016369711052,1927.611108241502,0.01313199270279767,0.3569948344201151,13.13199270279767,49255,0.33491993336279874
2022-03-13,1053,94.06226970560303,111.21601883665717,0.8457618847492839,890.587264640996,0.006067191359536851,0.36306202577965196,6.067191359536851,50308,0.3420800326386292
2022-03-14,473,64.73410147991544,109.16258175052853,0.593006325444497,280.4919919352471,0.0019108723619294312,0.3649728981415814,1.9108723619294312,50781,0.3452962975555027
2022-03-15,350,153.555,114.49801809714286,1.341114916676726,469.3902208368541,0.0031977554644916947,0.3681706536060731,3.197755464491695,51131,0.3476761975997008
2022-03-16,768,137.98296875,108.59435308333333,1.270627475851478,975.8419014539351,0.006647994854453688,0.37481864846052676,6.647994854453688,51899,0.35289837826811277
2022-03-17,711,85.53225035161744,112.91988350070324,0.7574596049869708,538.5537791457363,0.0036689373014963246,0.37848758576202307,3.6689373014963245,52610,0.357732975215041
2022-03-18,280,57.12228571428572,105.41032262142858,0.5419040971863365,151.7331472121742,0.0010336932452005548,0.3795212790072236,1.0336932452005547,52890,0.3596368952503995
2022-03-19,744,128.95123655913977,105.87825470698924,1.217919929979989,906.1324279051119,0.006173093929653496,0.3856943729368771,6.173093929653496,53634,0.36469588277292353
2022-03-20,920,128.88716304347827,106.26236449673914,1.2129145032099622,1115.8813429531651,0.007602023867883378,0.3932963968047605,7.6020238678833785,54554,0.37095162003195864
2022-03-21,569,142.34618629173988,104.33204657469246,1.3643572705135492,776.3192869222095,0.005288732341973154,0.3985851291467336,5.288732341973153,55123,0.37482065753238364
2022-03-22,21,62.82,72.962127,0.8609946362994599,18.08088736228866,0.00012317737736959218,0.3987083065241032,0.12317737736959218,55144,0.3749634515350355
2022-03-23,876,167.94201484018262,114.35986320547946,1.4685398367294988,1286.440896975041,0.008763973396619485,0.4074722799207227,8.763973396619486,56020,0.38092000135994286
2022-03-24,1509,101.14033134526177,107.9918633777336,0.9365551087075278,1413.2616590396594,0.009627949182438186,0.4171002291031609,9.627949182438186,57529,0.3911807704076429
2022-03-25,1407,110.9475597540867,112.99765174271501,0.981857215995106,1381.473102905114,0.00941138730156578,0.4265116164047267,9.41138730156578,58936,0.4007479685853194
2022-03-26,305,64.86,114.3634989081967,0.567138996438586,172.97739391376874,0.0011784212411479723,0.42769003764587465,1.1784212411479722,59241,0.4028218814809778
